filename,L,T,J,D,Bx,By,Bz,seed,sample,saved_index,label,E_density,m_abs_density,helical_order,q_peak,axis_peak,n_peak,phase_label
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.6999999999999998,1,1,0,0,0,1,0,0,1,-2.6569232155424487,0.060367848016381,0.3427189726002725,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,0.6999999999999998,1,1,0,0,0,1,4,1,1,-2.661439057095919,0.053917272496021,0.3354322349712489,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,0.6999999999999998,1,1,0,0,0,1,8,2,1,-2.6987718370084264,0.0578068443286708,0.3467508536313184,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,0.6999999999999998,1,1,0,0,0,1,12,3,1,-2.7038400195494345,0.0422956871581635,0.3514566987148981,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,0.6999999999999998,1,1,0,0,0,1,16,4,1,-2.7119270836262066,0.0725996235680358,0.3498076625070899,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,0.6999999999999998,1,1,0,0,0,1,20,5,1,-2.624116111759291,0.0703850842054892,0.3385249867494296,5.497787143782138,2,7,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,0.6999999999999998,1,1,0,0,0,1,24,6,1,-2.652200054756248,0.0696596753448135,0.3337364520173531,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,0.6999999999999998,1,1,0,0,0,1,28,7,1,-2.639015334568544,0.0468312193815213,0.3390448123713054,5.497787143782138,2,7,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.6999999999999998,1,1,0,0,0,1,0,0,1,-2.6569232155424487,0.060367848016381,0.3427189726002725,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,0.6999999999999998,1,1,0,0,0,1,4,1,1,-2.661439057095919,0.053917272496021,0.3354322349712489,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,0.6999999999999998,1,1,0,0,0,1,8,2,1,-2.6987718370084264,0.0578068443286708,0.3467508536313184,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,0.6999999999999998,1,1,0,0,0,1,12,3,1,-2.7038400195494345,0.0422956871581635,0.3514566987148981,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,0.6999999999999998,1,1,0,0,0,1,16,4,1,-2.7119270836262066,0.0725996235680358,0.3498076625070899,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,0.6999999999999998,1,1,0,0,0,1,20,5,1,-2.624116111759291,0.0703850842054892,0.3385249867494296,5.497787143782138,2,7,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,0.6999999999999998,1,1,0,0,0,1,24,6,1,-2.652200054756248,0.0696596753448135,0.3337364520173531,0.7853981633974482,2,1,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,0.6999999999999998,1,1,0,0,0,1,28,7,1,-2.639015334568544,0.0468312193815213,0.3390448123713054,5.497787143782138,2,7,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.8,1,1,0,0,0,1,0,0,1,-2.5238332458114168,0.0346042471001498,0.3227797350797047,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,0.8,1,1,0,0,0,1,4,1,1,-2.528979375417443,0.0435062856267278,0.3158697987464196,5.497787143782138,2,7,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,0.8,1,1,0,0,0,1,8,2,1,-2.5295358513586765,0.0564616765122397,0.3115972558083823,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,0.8,1,1,0,0,0,1,12,3,1,-2.564400889414298,0.0698034801491291,0.314944690558719,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,0.8,1,1,0,0,0,1,16,4,1,-2.5784002900418543,0.0775077258432188,0.3124115553602158,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,0.8,1,1,0,0,0,1,20,5,1,-2.6004007903441075,0.0661805358382513,0.3085309219591041,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,0.8,1,1,0,0,0,1,24,6,1,-2.5593440799618485,0.0586720038424276,0.3062775217073013,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,0.8,1,1,0,0,0,1,28,7,1,-2.527415847649757,0.0444471406888697,0.2977809855802979,5.497787143782138,2,7,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.8,1,1,0,0,0,1,0,0,1,-2.5238332458114168,0.0346042471001498,0.3227797350797047,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,0.8,1,1,0,0,0,1,4,1,1,-2.528979375417443,0.0435062856267278,0.3158697987464196,5.497787143782138,2,7,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,0.8,1,1,0,0,0,1,8,2,1,-2.5295358513586765,0.0564616765122397,0.3115972558083823,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,0.8,1,1,0,0,0,1,12,3,1,-2.564400889414298,0.0698034801491291,0.314944690558719,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,0.8,1,1,0,0,0,1,16,4,1,-2.5784002900418543,0.0775077258432188,0.3124115553602158,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,0.8,1,1,0,0,0,1,20,5,1,-2.6004007903441075,0.0661805358382513,0.3085309219591041,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,0.8,1,1,0,0,0,1,24,6,1,-2.5593440799618485,0.0586720038424276,0.3062775217073013,0.7853981633974482,2,1,1
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,0.8,1,1,0,0,0,1,28,7,1,-2.527415847649757,0.0444471406888697,0.2977809855802979,5.497787143782138,2,7,1
