filename,L,T,J,D,Bx,By,Bz,seed,sample,saved_index,label,E_density,m_abs_density,helical_order,q_peak,axis_peak,n_peak
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.69999999999999996,1,1,0,0,0,1,0,0,1,-2.6569232155424487,0.060367848016381002,0.34271897260027251,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,0.69999999999999996,1,1,0,0,0,1,4,1,1,-2.6614390570959192,0.053917272496021039,0.33543223497124891,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,0.69999999999999996,1,1,0,0,0,1,8,2,1,-2.6987718370084264,0.057806844328670851,0.34675085363131847,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,0.69999999999999996,1,1,0,0,0,1,12,3,1,-2.7038400195494345,0.042295687158163592,0.3514566987148981,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,0.69999999999999996,1,1,0,0,0,1,16,4,1,-2.7119270836262062,0.072599623568035884,0.34980766250708994,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,0.69999999999999996,1,1,0,0,0,1,20,5,1,-2.624116111759291,0.070385084205489293,0.3385249867494296,5.497787143782138,2,7
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,0.69999999999999996,1,1,0,0,0,1,24,6,1,-2.6522000547562481,0.069659675344813529,0.33373645201735314,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,0.69999999999999996,1,1,0,0,0,1,28,7,1,-2.6390153345685436,0.046831219381521391,0.3390448123713054,5.497787143782138,2,7
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.69999999999999996,1,1,0,0,0,1,0,0,1,-2.6569232155424487,0.060367848016381002,0.34271897260027251,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,0.69999999999999996,1,1,0,0,0,1,4,1,1,-2.6614390570959192,0.053917272496021039,0.33543223497124891,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,0.69999999999999996,1,1,0,0,0,1,8,2,1,-2.6987718370084264,0.057806844328670851,0.34675085363131847,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,0.69999999999999996,1,1,0,0,0,1,12,3,1,-2.7038400195494345,0.042295687158163592,0.3514566987148981,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,0.69999999999999996,1,1,0,0,0,1,16,4,1,-2.7119270836262062,0.072599623568035884,0.34980766250708994,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,0.69999999999999996,1,1,0,0,0,1,20,5,1,-2.624116111759291,0.070385084205489293,0.3385249867494296,5.497787143782138,2,7
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,0.69999999999999996,1,1,0,0,0,1,24,6,1,-2.6522000547562481,0.069659675344813529,0.33373645201735314,0.78539816339744828,2,1
local_L8_T0.7_label1/config_L8_T0p700_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,0.69999999999999996,1,1,0,0,0,1,28,7,1,-2.6390153345685436,0.046831219381521391,0.3390448123713054,5.497787143782138,2,7
local_L8_T0.8_label1/config_L8_T0p800_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.80000000000000004,1,1,0,0,0,1,0,0,1,-2.5238332458114168,0.034604247100149872,0.32277973507970475,0.78539816339744828,2,1
