filename,L,T,J,D,Bx,By,Bz,seed,sample,saved_index,label,E_density,m_abs_density,helical_order,q_peak,axis_peak,n_peak
config_L8_T0p800_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.80000000000000004,1,1,0,0,0,1,0,0,1,-2.5238332458114168,0.034604247100149872,0.32277973507970475,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,0.80000000000000004,1,1,0,0,0,1,4,1,1,-2.528979375417443,0.04350628562672787,0.31586979874641968,5.497787143782138,2,7
config_L8_T0p800_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,0.80000000000000004,1,1,0,0,0,1,8,2,1,-2.5295358513586765,0.056461676512239753,0.31159725580838238,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,0.80000000000000004,1,1,0,0,0,1,12,3,1,-2.5644008894142978,0.069803480149129127,0.31494469055871904,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,0.80000000000000004,1,1,0,0,0,1,16,4,1,-2.5784002900418543,0.077507725843218842,0.31241155536021586,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,0.80000000000000004,1,1,0,0,0,1,20,5,1,-2.6004007903441075,0.0661805358382513,0.30853092195910414,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,0.80000000000000004,1,1,0,0,0,1,24,6,1,-2.5593440799618485,0.0586720038424276,0.30627752170730133,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,0.80000000000000004,1,1,0,0,0,1,28,7,1,-2.5274158476497575,0.044447140688869763,0.29778098558029792,5.497787143782138,2,7
config_L8_T0p800_J1p000_D1p000_seed1_sample000000_saved0000.bin,8,0.80000000000000004,1,1,0,0,0,1,0,0,1,-2.5238332458114168,0.034604247100149872,0.32277973507970475,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000004_saved0001.bin,8,0.80000000000000004,1,1,0,0,0,1,4,1,1,-2.528979375417443,0.04350628562672787,0.31586979874641968,5.497787143782138,2,7
config_L8_T0p800_J1p000_D1p000_seed1_sample000008_saved0002.bin,8,0.80000000000000004,1,1,0,0,0,1,8,2,1,-2.5295358513586765,0.056461676512239753,0.31159725580838238,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000012_saved0003.bin,8,0.80000000000000004,1,1,0,0,0,1,12,3,1,-2.5644008894142978,0.069803480149129127,0.31494469055871904,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000016_saved0004.bin,8,0.80000000000000004,1,1,0,0,0,1,16,4,1,-2.5784002900418543,0.077507725843218842,0.31241155536021586,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000020_saved0005.bin,8,0.80000000000000004,1,1,0,0,0,1,20,5,1,-2.6004007903441075,0.0661805358382513,0.30853092195910414,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000024_saved0006.bin,8,0.80000000000000004,1,1,0,0,0,1,24,6,1,-2.5593440799618485,0.0586720038424276,0.30627752170730133,0.78539816339744828,2,1
config_L8_T0p800_J1p000_D1p000_seed1_sample000028_saved0007.bin,8,0.80000000000000004,1,1,0,0,0,1,28,7,1,-2.5274158476497575,0.044447140688869763,0.29778098558029792,5.497787143782138,2,7
